"server name","server id","idle latency","idle jitter","packet loss","download","upload","download bytes","upload bytes","share url","download server count","download latency","download latency jitter","download latency low","download latency high","upload latency","upload latency jitter","upload latency low","upload latency high","idle latency low","idle latency high"
"GSL Networks - Tokyo","50686","9.2065","0.12525","N/A","10614845","10486647","61828422","64953258","https://www.speedtest.net/result/c/e183786e-d7b7-4870-a339-50e8c4ab8e20","1","24.677","4.89136","9.095","52.722","18.9958","6.28316","12.173","258.438","9.015","9.422"
"IPA CyberLab 400G - Tokyo","48463","9.104","0.175","0","11453630","10385331","47237498","44789864","https://www.speedtest.net/result/c/cc2834ba-e102-4a8d-bd8b-b818af52ae35","1","24.9295","1.76111","11.995","37.965","18.3976","2.87424","9.92","50.213","8.855","9.177"
"IPA CyberLab 400G - Tokyo","48463","14.3306","2.73875","0","9097051","10095460","101808000","48777344","https://www.speedtest.net/result/c/e73ec6e5-0fdf-442e-ab1c-da18d93e31e2","1","29.6815","5.98672","9.211","283.823","18.373","7.79557","10.374","253.257","9.961","15.701"
"2025-04-02 21:02:13",
"IPA CyberLab 400G - Tokyo","48463","9.3769","0.19675","0","10995677","10539095","46346678","43353240","https://www.speedtest.net/result/c/9d059768-0625-4267-9ca6-0cae7e7f6c1b","1","26.0782","8.25717","13.78","275.512","18.802","7.33231","14.268","264.812","9.202","9.644"
"2025-04-02 21:05:14","2025-04-02 21:05:41","IPA CyberLab 400G - Tokyo","48463","9.3007","0.27975","0","10862053","10487684","156997834","62610506","https://www.speedtest.net/result/c/50d598a9-ea58-4922-a91c-8c7f6dad3de1","1","26.4082","7.28454","9.09","310.53","18.5787","5.94318","10.12","260.157","8.985","9.412"
"2025-04-02 21:06:18","IPA CyberLab 400G - Tokyo","48463","9.1787","0.32575","0","11408353","10506422","41202792","43337686","https://www.speedtest.net/result/c/bf6fe6ea-9170-4a84-bb3d-cf2f7a555d2a","1","24.9216","8.79287","9.105","278.991","18.7354","2.56471","10.44","57.67","8.942","9.593"
"2025-04-02 21:14:42","IPA CyberLab 400G - Tokyo","48463","9.1815","0.35475","0","11484685","10530316","41358578","43278298","https://www.speedtest.net/result/c/1d51d2d4-ac82-4b95-a0c2-8b0824838940","1","24.8657","1.69952","9.331","38.756","18.7515","1.50439","15.004","28.739","8.945","9.422"
"2025-04-02 21:16:01","IPA CyberLab 400G - Tokyo","48463","9.2255","0.21","0","11638567","10563521","43121344","42398790","https://www.speedtest.net/result/c/73a07a04-ce7f-4bec-af15-fbbcea271f09","1","24.9583","1.28408","12.706","36.923","18.5205","1.72949","13.83","46.106","9.108","9.653"
"2025-04-02 21:17:01","IPA CyberLab 400G - Tokyo","48463","9.2349","0.187","0","11587657","10460228","45256484","44000852","https://www.speedtest.net/result/c/2ffe9c45-a164-4e52-b7c8-58fae21b449c","1","25.1828","1.53788","9.19","36.872","18.8523","7.91536","9.567","264.54","8.93","9.341"
